Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Ca,K,Gd,B3_500_BEST_#6_High_Quality(#19),best_high_quliaty_500,48,31,16,5,55,800,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,186
Ru,Sr,K,Re,B3_500_BEST_#7_High_Quality(#20),best_high_quliaty_500,46,28,17,9,47,570,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,217
Ru,Na,Ca,Ta,B3_500_BEST_#8_High_Quality(#21),best_high_quliaty_500,43,34,21,2,60,420,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,216
Na,K,Al,Ir,B3_500_VARIANCE_#1_Full(#9),variance_full_500,38,28,22,12,56,1440,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,466
Na,Ca,Li,Ir,B3_500_VARIANCE_#2_Full(#10),variance_full_500,36,28,25,11,39,1440,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,349
Ir,Ru,Au,K,B3_500_VARIANCE_#3_Full(#11),variance_full_500,49,38,10,3,60,420,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,273
Ru,Na,Ir,K,B3_500_VARIANCE_#4_Full(#12),variance_full_500,56,27,14,3,60,440,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,236
Ru,Sr,Ni,Na,B3_500_VARIANCE_#5_Full(#13),variance_full_500,43,27,24,6,52,410,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,219
Ca,Ba,K,Ir,Failed Sample,variance_full_500,41,30,16,13,30,1440,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
K,Ba,Al,Ru,Failed Sample,variance_full_500,48,25,15,12,60,1440,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
K,Ba,Na,Ru,Failed Sample,variance_full_500,37,28,19,16,51,1440,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,K,Li,Pr,B3_500_VARIANCE_#1_High_Quality(#22),variance_high_quliaty_500,43,26,25,6,60,1110,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,174
Ru,Ba,W,Ni,B3_500_VARIANCE_#2_High_Quality(#23),variance_high_quliaty_500,38,33,24,5,28,1440,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,229
Ca,Ru,Ir,Mo,B3_500_VARIANCE_#3_High_Quality(#24),variance_high_quliaty_500,38,33,24,5,60,1440,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,299
Ru,Na,Ce,Ni,B3_500_VARIANCE_#4_High_Quality(#25),variance_high_quliaty_500,37,33,26,4,25,1440,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,259
Li,Ru,Mn,Ni,B3_500_VARIANCE_#5_High_Quality(#26),variance_high_quliaty_500,34,31,30,5,34,1430,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,423
Ca,Li,Ru,Ni,Failed Sample,variance_high_quliaty_500,45,29,20,6,60,900,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Mn,Cr,Li,Failed Sample,variance_high_quliaty_500,37,28,22,13,44,1440,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Na,Ru,Pd,Cr,Failed Sample,variance_high_quliaty_500,42,29,18,11,28,1170,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
