Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Cr,Er,Nd,B4_500_BEST_#8_Full,best_full_500,46,38,14,2,60,1290,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,226
Ru,Ca,Sr,Sm,B4_500_BEST_#1_High_Quality(#17),best_high_quliaty_500,63,20,12,5,38,780,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,226
Ru,Mn,Er,Ti,B4_500_BEST_#2_High_Quality(#18),best_high_quliaty_500,58,26,10,6,56,1250,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,229
Ru,Zn,Sr,Nd,B4_500_BEST_#3_High_Quality(#19),best_high_quliaty_500,55,24,16,5,37,700,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,176
Ru,K,Li,Ce,B4_500_BEST_#4_High_Quality(#20),best_high_quliaty_500,53,24,16,7,31,960,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,242
Ru,Zn,Sr,Gd,B4_500_BEST_#5_High_Quality(#21),best_high_quliaty_500,51,36,11,2,43,570,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,194
Ru,Zn,Ca,Nd,B4_500_BEST_#6_High_Quality(#22),best_high_quliaty_500,47,28,18,7,60,640,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,193
Ru,K,Sr,Nd,B4_500_BEST_#7_High_Quality(#23),best_high_quliaty_500,41,32,20,7,60,730,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,196
Ru,Ca,Na,Nd,B4_500_BEST_#8_High_Quality(#24),best_high_quliaty_500,40,30,25,5,60,1010,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,189
Li,Sr,Na,Ru,B4_500_VARIANCE_#1_Full(#9),variance_full_500,45,28,20,7,60,480,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,307
Ca,Sr,Na,Ru,B4_500_VARIANCE_#2_Full(#10),variance_full_500,48,30,13,9,60,460,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,264
Ca,Sr,Na,Ru,B4_500_VARIANCE_#3_Full(#11),variance_full_500,43,35,15,7,47,380,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,284
Na,Sr,Li,Ru,B4_500_VARIANCE_#4_Full(#12),variance_full_500,41,32,22,5,26,810,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,311
Li,Ba,K,Ru,B4_500_VARIANCE_#5_Full(#13),variance_full_500,33,29,25,13,60,720,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,295
Li,Sr,Ti,Ru,B4_500_VARIANCE_#6_Full(#14),variance_full_500,47,25,18,10,60,1170,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,375
Li,Sr,K,Ru,B4_500_VARIANCE_#7_Full(#15),variance_full_500,55,24,16,5,48,430,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,334
Li,Sr,Na,Ru,B4_500_VARIANCE_#8_Full(#16),variance_full_500,44,29,21,6,60,770,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,363
Li,Ru,N,In,B4_500_VARIANCE_#1_High_Quality(#25),variance_high_quliaty_500,43,29,21,7,51,1230,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,246
Li,Ru,N,Re,B4_500_VARIANCE_#2_High_Quality(#26),variance_high_quliaty_500,43,30,21,6,37,1180,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,230
Ca,Ru,F,Re,B4_500_VARIANCE_#3_High_Quality(#27),variance_high_quliaty_500,48,25,23,4,51,650,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,248
Na,Ru,N,Au,B4_500_VARIANCE_#4_High_Quality(#28),variance_high_quliaty_500,63,17,14,6,48,1440,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,277
Na,Ru,N,W,B4_500_VARIANCE_#5_High_Quality(#29),variance_high_quliaty_500,54,23,20,3,42,1440,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,270
Na,Li,Ru,Ni,B4_500_VARIANCE_#6_High_Quality(#30),variance_high_quliaty_500,38,29,25,8,30,370,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,329
Na,Li,Ru,Al,B4_500_VARIANCE_#7_High_Quality(#31),variance_high_quliaty_500,46,30,14,10,60,600,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,316
Li,Na,Ru,N,B4_500_VARIANCE_#8_High_Quality(#32),variance_high_quliaty_500,43,29,19,9,50,420,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,311
