Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Zn,Sr,Nd,B5_500_BEST_#1_Full(#6),best_full_500,56,26,13,5,30,650,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,204
Ru,Ca,Sr,Ta,B5_500_BEST_#1_Full(#7),best_full_500,52,26,20,2,54,670,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,225
Ru,Sn,Sr,Pr,B5_500_BEST_#1_Full(#8),best_full_500,52,25,18,5,60,600,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,215
Ru,Zn,Sr,Er,B5_500_BEST_#1_Full(#9),best_full_500,51,25,17,7,60,720,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,264
Ru,K,Sr,Er,B5_500_BEST_#1_Full(#10),best_full_500,50,26,19,5,60,450,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,216
Ru,Zn,Sr,Pr,B5_500_BEST_#1_Full(#11),best_full_500,48,28,17,7,56,680,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,209
Ru,Sr,Ba,Gd,B5_500_BEST_#1_Full(#12),best_full_500,48,34,13,5,60,720,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,220
Ru,Cr,Sr,Nd,B5_500_BEST_#1_Full(#13),best_full_500,48,30,19,3,46,440,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,220
Ru,K,Sr,Nd,B5_500_BEST_#1_Full(#14),best_full_500,47,27,18,8,60,440,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,199
Ru,K,Ca,Pr,B5_500_BEST_#1_Full(#15),best_full_500,47,28,16,9,60,680,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,193
