May 30, 2023   20:23:51
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 5\400\B5_BEST_400_#1_High_Quality(#22)-206mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.901

Final E (V) = 1.511


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.218,   2.384e-4
1.219,   2.395e-4
1.220,   2.392e-4
1.221,   1.864e-4
1.222,   2.056e-4
1.223,   2.570e-4
1.224,   1.989e-4
1.225,   2.146e-4
1.226,   2.342e-4
1.227,   2.353e-4
1.228,   2.327e-4
1.229,   2.223e-4
1.230,   2.192e-4
1.231,   2.123e-4
1.232,   2.296e-4
1.233,   2.406e-4
1.234,   2.276e-4
1.235,   2.378e-4
1.236,   2.318e-4
1.237,   2.302e-4
1.238,   2.383e-4
1.239,   2.308e-4
1.240,   2.309e-4
1.241,   2.315e-4
1.242,   2.418e-4
1.243,   2.344e-4
1.244,   2.304e-4
1.245,   2.310e-4
1.246,   2.335e-4
1.247,   2.355e-4
1.248,   2.277e-4
1.249,   2.401e-4
1.250,   2.453e-4
1.251,   2.412e-4
1.252,   2.553e-4
1.253,   2.530e-4
1.254,   2.470e-4
1.255,   2.392e-4
1.256,   2.390e-4
1.257,   2.261e-4
1.258,   2.378e-4
1.259,   2.383e-4
1.260,   2.309e-4
1.261,   2.354e-4
1.262,   2.374e-4
1.263,   2.339e-4
1.264,   2.352e-4
1.265,   2.481e-4
1.266,   2.501e-4
1.267,   2.362e-4
1.268,   2.317e-4
1.269,   2.416e-4
1.270,   2.352e-4
1.271,   2.230e-4
1.272,   2.326e-4
1.273,   2.230e-4
1.274,   2.270e-4
1.275,   2.272e-4
1.276,   2.336e-4
1.277,   2.351e-4
1.278,   2.541e-4
1.279,   2.495e-4
1.280,   2.527e-4
1.281,   2.452e-4
1.282,   2.359e-4
1.283,   2.331e-4
1.284,   2.347e-4
1.285,   2.480e-4
1.286,   2.578e-4
1.287,   2.657e-4
1.288,   2.524e-4
1.289,   2.520e-4
1.290,   2.484e-4
1.291,   2.547e-4
1.292,   2.272e-4
1.293,   2.280e-4
1.294,   7.415e-4
1.295,   6.433e-4
1.296,   4.189e-4
1.297,   3.272e-4
1.298,   2.876e-4
1.299,   2.697e-4
1.300,   2.625e-4
1.301,   2.591e-4
1.302,   2.550e-4
1.303,   2.534e-4
1.304,   2.554e-4
1.305,   2.536e-4
1.306,   2.522e-4
1.307,   2.522e-4
1.308,   2.521e-4
1.309,   2.516e-4
1.310,   2.518e-4
1.311,   2.528e-4
1.312,   2.521e-4
1.313,   2.522e-4
1.314,   2.503e-4
1.315,   2.510e-4
1.316,   2.543e-4
1.317,   2.543e-4
1.318,   2.516e-4
1.319,   2.530e-4
1.320,   2.543e-4
1.321,   2.545e-4
1.322,   2.561e-4
1.323,   2.565e-4
1.324,   2.565e-4
1.325,   2.569e-4
1.326,   2.570e-4
1.327,   2.587e-4
1.328,   2.606e-4
1.329,   2.591e-4
1.330,   2.618e-4
1.331,   2.621e-4
1.332,   2.611e-4
1.333,   2.634e-4
1.334,   2.633e-4
1.335,   2.635e-4
1.336,   2.650e-4
1.337,   2.661e-4
1.338,   2.687e-4
1.339,   2.701e-4
1.340,   2.687e-4
1.341,   2.686e-4
1.342,   2.715e-4
1.343,   2.726e-4
1.344,   2.725e-4
1.345,   2.753e-4
1.346,   2.767e-4
1.347,   2.775e-4
1.348,   2.794e-4
1.349,   2.797e-4
1.350,   2.811e-4
1.351,   2.838e-4
1.352,   2.841e-4
1.353,   2.860e-4
1.354,   2.890e-4
1.355,   2.904e-4
1.356,   2.905e-4
1.357,   2.933e-4
1.358,   2.932e-4
1.359,   2.970e-4
1.360,   2.989e-4
1.361,   3.004e-4
1.362,   3.032e-4
1.363,   3.050e-4
1.364,   3.068e-4
1.365,   3.095e-4
1.366,   3.120e-4
1.367,   3.147e-4
1.368,   3.176e-4
1.369,   3.206e-4
1.370,   3.231e-4
1.371,   3.281e-4
1.372,   3.289e-4
1.373,   3.322e-4
1.374,   3.363e-4
1.375,   3.393e-4
1.376,   3.440e-4
1.377,   3.489e-4
1.378,   3.511e-4
1.379,   3.556e-4
1.380,   3.610e-4
1.381,   3.662e-4
1.382,   3.714e-4
1.383,   3.778e-4
1.384,   3.827e-4
1.385,   3.871e-4
1.386,   3.949e-4
1.387,   3.991e-4
1.388,   4.063e-4
1.389,   4.154e-4
1.390,   4.219e-4
1.391,   4.294e-4
1.392,   4.383e-4
1.393,   4.476e-4
1.394,   4.564e-4
1.395,   4.672e-4
1.396,   4.788e-4
1.397,   4.901e-4
1.398,   5.010e-4
1.399,   5.106e-4
1.400,   5.250e-4
1.401,   5.386e-4
1.402,   5.542e-4
1.403,   5.710e-4
1.404,   5.854e-4
1.405,   6.037e-4
1.406,   6.217e-4
1.407,   6.413e-4
1.408,   6.624e-4
1.409,   6.852e-4
1.410,   7.061e-4
1.411,   7.317e-4
1.412,   7.566e-4
1.413,   7.811e-4
1.414,   8.117e-4
1.415,   8.399e-4
1.416,   8.735e-4
1.417,   9.058e-4
1.418,   9.384e-4
1.419,   9.733e-4
1.420,   1.015e-3
1.421,   1.051e-3
1.422,   1.091e-3
1.423,   1.136e-3
1.424,   1.178e-3
1.425,   1.227e-3
1.426,   1.280e-3
1.427,   1.324e-3
1.428,   1.376e-3
1.429,   1.435e-3
1.430,   1.490e-3
1.431,   1.554e-3
1.432,   1.616e-3
1.433,   1.673e-3
1.434,   1.743e-3
1.435,   1.812e-3
1.436,   1.873e-3
1.437,   1.947e-3
1.438,   2.021e-3
1.439,   2.091e-3
1.440,   2.172e-3
1.441,   2.252e-3
1.442,   2.326e-3
1.443,   2.414e-3
1.444,   2.498e-3
1.445,   2.579e-3
1.446,   2.668e-3
1.447,   2.754e-3
1.448,   2.838e-3
1.449,   2.935e-3
1.450,   3.025e-3
1.451,   3.116e-3
1.452,   3.225e-3
1.453,   3.318e-3
1.454,   3.411e-3
1.455,   3.522e-3
1.456,   3.614e-3
1.457,   3.710e-3
1.458,   3.804e-3
1.459,   3.901e-3
1.460,   4.010e-3
1.461,   4.120e-3
1.462,   4.220e-3
1.463,   4.335e-3
1.464,   4.449e-3
1.465,   4.558e-3
1.466,   4.666e-3
1.467,   4.781e-3
1.468,   4.891e-3
1.469,   5.013e-3
1.470,   5.133e-3
1.471,   5.256e-3
1.472,   5.385e-3
1.473,   5.503e-3
1.474,   5.622e-3
1.475,   5.746e-3
1.476,   5.849e-3
1.477,   5.981e-3
1.478,   6.108e-3
1.479,   6.227e-3
1.480,   6.355e-3
1.481,   6.478e-3
1.482,   6.583e-3
1.483,   6.719e-3
1.484,   6.858e-3
1.485,   6.973e-3
1.486,   7.105e-3
1.487,   7.237e-3
1.488,   7.346e-3
1.489,   7.469e-3
1.490,   7.596e-3
1.491,   7.711e-3
1.492,   7.848e-3
1.493,   7.985e-3
1.494,   8.120e-3
1.495,   8.257e-3
1.496,   8.379e-3
1.497,   8.515e-3
1.498,   8.650e-3
1.499,   8.771e-3
1.500,   8.908e-3
1.501,   9.055e-3
1.502,   9.168e-3
1.503,   9.318e-3
1.504,   9.473e-3
1.505,   9.593e-3
1.506,   9.719e-3
1.507,   9.853e-3
1.508,   9.955e-3
1.509,   1.003e-2
1.510,   1.007e-2
1.511,   1.007e-2
