DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ba,K,Ir,B1_VARIANCE_500_#18_Full,47,26,20,7,26,1210,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,282
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ba,K,Sn,B1_VARIANCE_500_#19_Full,44,37,12,7,31,1050,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,318
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Sr,K,Er,B1_BEST_500_#20_High_Quality,44,29,19,8,29,1090,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,226
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Sr,K,W,B1_BEST_500_#21_High_Quality,44,31,16,9,42,920,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,221
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ir,Ca,Ni,F,B1_VARIANCE_500_#22_Full,44,39,9,8,48,770,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,269
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ir,Pd,Mo,F,B1_VARIANCE_500_#23_Full,45,30,15,10,37,750,1,0,1,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,380
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ir,Pd,Ru,N,B1_VARIANCE_500_#24_Full,41,39,14,6,52,1440,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,249
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Sr,B2_VARIANCE_400#1_Full,44,39,10,7,49,1440,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,262
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ca,Ru,Ir,Ti,B2_VARIANCE_400#2_High_Quality,48,48,3,1,60,920,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,205
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Zr,B2_VARIANCE_400#3_Full,45,40,13,2,39,1440,1,0,0,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,271
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ta,Li,B2_BEST_400#4_Full,47,27,16,10,41,850,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,202
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Mn,Gd,Ti,B2_VARIANCE_400#5_High_Quality,45,29,21,5,34,730,1,0,0,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,225
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ag,Mo,B2_VARIANCE_400#6_High_Quality,44,42,10,4,60,1440,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,350
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ir,Li,B2_BEST_400#7_Full,51,27,16,6,42,830,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,187
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Li,B2_BEST_400#8_Full,46,44,7,3,60,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,208
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Li,Ru,Ir,Ta,B2_VARIANCE_400#9_High_Quality,43,43,13,1,48,1290,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,221
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Pr,B2_BEST_400#10_Full,45,30,21,4,60,770,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,251
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,W,B2_BEST_400#11_Full,46,28,20,6,44,840,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,270
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ce,B2_BEST_400#12_Full,44,39,13,4,60,750,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,281
